,index,A_start,beta_start,rho_start,A_hat,beta_hat,rho_hat,nloglik,code,set
81,49,8.37909070871748e-05,0.001316159,0.000524085,1.02034065353086e-10,0.002016663,0.096976457,208.3574766,10,combination 4
36,50,6.56161396380858e-05,0.001373474,0.000513423,1.79068043265178e-08,0.002444938,0.010863997,205.2363393,0,combination 4
55,51,4.97838946533766e-05,0.001741531,0.000376205,2.93257607073521e-11,0.002220482,0.077808137,196.9945165,0,combination 4
27,52,4.86421199183623e-05,0.001716298,0.000309902,1.91324428505141e-08,0.002535198,7.60428798543736e-07,209.566539,0,combination 4
13,53,3.65583698283726e-05,0.001875453,0.000397541,1.44074906963393e-08,0.002649922,2.19960179681332e-07,243.7342639,0,combination 4
96,54,4.89390487592113e-05,0.001528035,0.00047631,1.82430265598562e-08,0.002601382,7.39562216560681e-07,227.2649741,10,combination 4
14,55,3.69161794813228e-05,0.001593406,0.000313415,2.01212611541988e-08,0.002380512,0.011067664,188.8967385,0,combination 4
104,56,0.000112579,0.001708971,0.000312778,1.28419888387268e-08,0.002387681,5.55630417841252e-08,204.0873203,0,combination 4
56,57,4.16989566220813e-05,0.001672626,0.000336964,1.0847805854945e-08,0.002288991,0.03074142,215.6567494,0,combination 4
97,58,1.27250778523252e-05,0.001815802,0.000346422,4.77614177880304e-09,0.002289605,0.066463222,175.5144041,0,combination 4
57,59,0.000108567,0.001671537,0.000316614,2.53765150571606e-08,0.002420761,0.001519394,203.7216535,0,combination 4
28,60,1.40122841235827e-05,0.002022965,0.000326253,2.33096154828918e-08,0.002435187,2.24257223616706e-08,191.1274096,0,combination 4
76,61,3.69708733981752e-05,0.001699196,0.000363372,7.51363044953148e-09,0.002066608,0.061314554,189.2268723,0,combination 4
105,62,0.00015525,0.001500093,0.000300414,1.67366768633828e-08,0.002133423,0.037216514,167.5840105,0,combination 4
37,63,0.000105604,0.001595707,0.000311968,2.34713640624819e-08,0.002422152,0.000554213,210.3683092,0,combination 4
38,64,9.14979502995144e-05,0.0013528,0.000452454,4.34462214504605e-09,0.002106573,0.073753295,173.0239426,0,combination 4
77,65,2.02767255254467e-05,0.001666213,0.00033144,1.02210106650825e-08,0.002051421,0.060797679,177.0560059,0,combination 4
15,66,0.000107051,0.001507971,0.000326957,1.329802342409e-08,0.002250287,0.034354546,180.5130089,0,combination 4
39,67,0.000139744,0.001437431,0.000315821,1.76225812370864e-08,0.002297874,0.022144923,186.9217141,0,combination 4
82,68,3.27853928894015e-05,0.001632831,0.000394866,6.16288653323728e-14,0.002368651,0.055132529,232.6680593,0,combination 4
78,69,9.56168625761067e-05,0.001620069,0.000403844,2.07950537681569e-08,0.002479723,4.47907191202413e-08,202.6575279,0,combination 4
66,70,1.92736956790799e-05,0.001595788,0.000476048,2.3097429389073e-08,0.002430304,1.64055042164554e-07,187.5178851,0,combination 4
16,71,3.78861888080946e-05,0.001527494,0.000485463,2.34334727310784e-08,0.002383407,2.07740930841204e-08,207.7814021,0,combination 4
29,72,7.57255999267678e-05,0.001884991,0.000315568,8.58150778587522e-09,0.002242574,0.050209864,172.4404937,0,combination 4
210,73,9.48815697138708e-05,0.001554152,0.000347265,1.26308712701299e-13,0.002125857,0.081581946,188.6176319,0,combination 4
17,74,1.28016732841176e-05,0.001634711,0.000507549,2.29280677904477e-08,0.002378553,0.004500278,190.0496565,0,combination 4
211,75,9.69010379034305e-05,0.001651383,0.000319168,1.09497815808472e-08,0.002185882,0.044695636,179.2097336,0,combination 4
67,76,9.99196429711312e-05,0.00160848,0.000456904,1.39786392874015e-08,0.002393496,0.024552306,186.04185,0,combination 4
83,77,4.22860747151421e-05,0.001698443,0.000366517,1.61671296501709e-08,0.002349834,0.022759625,189.2487198,0,combination 4
310,78,0.000118369,0.001457773,0.000391236,1.77028059274968e-08,0.002134561,0.044213138,159.2541036,0,combination 4
212,79,5.55919880010964e-06,0.001573753,0.000329782,1.72693717329492e-08,0.002036853,0.044509466,155.7666177,0,combination 4
98,80,2.80840978326121e-05,0.001634287,0.000378309,2.21035365461106e-08,0.002278593,0.013308045,182.0565674,0,combination 4
68,81,8.1703371131215e-05,0.002014103,0.000317757,4.73185632869323e-09,0.002232584,0.061570318,178.7790861,0,combination 4
79,82,5.14368866583011e-05,0.00139594,0.00041727,2.21753253898563e-08,0.002159451,0.02055851,177.7429946,0,combination 4
106,83,1.37167256518977e-05,0.001406152,0.000375272,9.79206146099504e-09,0.002141378,0.050956101,191.1232568,0,combination 4
84,84,7.02003587686335e-05,0.001476562,0.000341333,1.11671655375609e-08,0.002176776,0.047784908,169.446446,0,combination 4
