,index,A_start,beta_start,rho_start,A_hat,beta_hat,rho_hat,nloglik,code,set
1016,166,5.77809247778207e-05,0.00205381,0.000404653,4.76580422285175e-08,0.00390168,0.09877179,132.4774166,0,combination 1
716,167,0.000120932,0.001927575,0.000447995,1.24802334314964e-07,0.005062051,0.044294597,148.0227081,0,combination 1
1017,168,2.06154853953492e-06,0.001858399,0.000463187,1.01007163621772e-07,0.005058373,0.049457274,134.604609,0,combination 1
515,169,8.55148312183175e-05,0.002337029,0.000310381,1.07642831283377e-07,0.004963467,0.050671508,140.0293276,0,combination 1
214,170,9.94389566059634e-05,0.001731882,0.00040876,1.59221442143068e-07,0.005284718,0.033301044,155.4965997,0,combination 1
315,171,5.9920136734076e-05,0.001729267,0.000399447,9.85295737020685e-08,0.004427873,0.064586632,142.6597907,0,combination 1
717,172,0.000162922,0.001842647,0.000374665,1.19757276636528e-07,0.004856202,0.049413044,148.9098348,0,combination 1
215,173,2.26312850087759e-05,0.002304021,0.000373484,1.02723482618989e-07,0.005008011,0.055312545,149.4956747,0,combination 1
818,174,7.63583749399764e-06,0.001630224,0.000476691,1.99836439763649e-09,0.004052835,0.096461957,130.7857666,0,combination 1
316,175,4.3812614530968e-06,0.001942499,0.000388159,1.68911404479452e-07,0.005743042,0.025990236,157.9163345,0,combination 1
216,176,1.41095481815526e-05,0.002230441,0.000347067,4.83522198535033e-08,0.004451177,0.085128871,137.589059,0,combination 1
112,177,0.000153464,0.001826319,0.000428646,1.44606900893239e-07,0.005456839,0.032914112,152.4110183,0,combination 1
613,178,0.000103966,0.002096108,0.000326189,1.17097110150348e-07,0.004999239,0.04777776,147.0785984,0,combination 1
922,179,0.000122569,0.001277882,0.000582264,7.60634219825213e-08,0.00428611,0.079656986,144.8575795,0,combination 1
819,180,3.91473944978567e-06,0.001730368,0.00050048,1.24103701750263e-07,0.005134992,0.044144379,144.8443406,0,combination 1
113,181,0.0001755,0.002081135,0.000353305,1.44999717930786e-07,0.005589064,0.031663208,146.251574,0,combination 1
614,182,1.82773912852608e-05,0.001996676,0.000365958,6.0845650388053e-08,0.004153711,0.089391399,138.5485119,0,combination 1
516,183,5.40312920664714e-05,0.002423665,0.000334826,1.42782455064327e-07,0.005384059,0.03436057,145.8772457,0,combination 1
317,184,9.1486163849684e-05,0.002070445,0.000316963,1.04072316549182e-07,0.004553232,0.059518957,144.835395,0,combination 1
1018,185,5.08453345451116e-05,0.002447996,0.000322294,1.43919416993872e-15,0.003608215,0.156575672,147.3804735,0,combination 1
114,186,2.97652440612382e-06,0.002270252,0.000335978,1.01354201035185e-07,0.004984872,0.054273121,144.0607818,0,combination 1
820,187,3.9560041246531e-05,0.001892179,0.000446847,9.13808957544313e-08,0.004703928,0.063551628,147.7203406,0,combination 1
1019,188,1.25890445982915e-05,0.002467788,0.000313342,8.59175738243153e-08,0.004864803,0.063203378,143.8929216,0,combination 1
217,189,6.08576959740481e-05,0.002553061,0.000338962,1.52929007384242e-07,0.005446693,0.031985296,152.6949549,0,combination 1
517,190,8.03754559706475e-05,0.001289522,0.000597979,1.33226317926044e-07,0.004902423,0.041403312,140.2926112,0,combination 1
718,191,0.000107004,0.00211655,0.000335968,9.31852037244554e-08,0.004688783,0.064492381,143.8293273,0,combination 1
518,192,8.46935012473703e-06,0.002506709,0.000329684,6.05076523710471e-09,0.00368032,0.12977969,147.9283247,0,combination 1
218,193,8.92025617157918e-05,0.00199113,0.000519764,1.50916666604148e-07,0.005708527,0.027111481,152.9512695,0,combination 1
923,194,9.4916941536382e-05,0.00210312,0.000370844,7.76964414889658e-08,0.004565064,0.079808612,141.4071885,0,combination 1
519,195,9.35065328684879e-05,0.001260115,0.000553719,9.33977089568783e-08,0.0042297,0.069077676,141.679975,0,combination 1
615,196,0.000108717,0.001317048,0.000518633,7.66762585642642e-08,0.003897754,0.087133515,144.0549014,0,combination 1
616,197,3.89274459670874e-05,0.002344554,0.000369075,5.27242879688066e-08,0.004219262,0.093670669,140.5023582,0,combination 1
115,198,2.12169720083486e-05,0.002191879,0.000360317,7.59219103545142e-08,0.00454991,0.07493598,145.8076178,0,combination 1
719,199,3.45984535035788e-06,0.002458703,0.000337894,9.70885839914277e-08,0.004623686,0.061853075,143.8281621,0,combination 1
520,200,0.000123899,0.001957907,0.000382035,7.85902466827526e-08,0.004417471,0.072550051,137.3525194,0,combination 1
